storeid,PhoneNumber,StreetAddress,CityName,State,Population,managerfirstname,managerlastname,ManagerName,Email
590,(555) 808-7245,859 Green Hague Parkway,Akron,MO,7684915,Rose,Lee,Rose Lee,rose.lee@setechstores.com
644,112-969-3536,64 East First Street,Akron,MO,7684915,Ruth,Piper,Ruth Piper,ruth.piper@setechstores.com
882,(736) 361-1787,40 Green Nobel Freeway,Akron,MO,7684915,Kimberly,Wallace,Kimberly Wallace,kimberly.wallace@setechstores.com
970,169-779-7037,769 West Green First Blvd.,Akron,MO,7684915,Cameron,James,Cameron James,cameron.james@setechstores.com
205,688-261-8913,21 North Second Way,Akron,OH,5947796,Tim,Powell,Tim Powell,tim.powell@setechstores.com
497,(793) 643-0210,388 Cowley Blvd.,Akron,OH,5947796,Lily,MacLeod,Lily MacLeod,lily.macleod@setechstores.com
763,672-549-3089,193 First Freeway,Akron,OH,5947796,Alexander,Paige,Alexander Paige,alexander.paige@setechstores.com
783,(723) 768-1619,836 Clarendon Avenue,Akron,OH,5947796,Michael,Bailey,Michael Bailey,michael.bailey@setechstores.com
990,(585) 788-7579,41 Rocky First Avenue,Akron,OH,5947796,Evan,Edmunds,Evan Edmunds,evan.edmunds@setechstores.com
149,509-314-7465,74 Rocky Oak St.,Akron,RI,3878285,Stephen,Burdell,Stephen Burdell,stephen.burdell@setechstores.com
262,(115) 339-1089,26 Rocky Milton Freeway,Akron,RI,3878285,Will,Mitchell,Will Mitchell,will.mitchell@setechstores.com
874,705-519-9400,912 Nobel St.,Akron,RI,3878285,Sebastian,Springer,Sebastian Springer,sebastian.springer@setechstores.com
53,(850) 387-2434,313 First Boulevard,Albuquerque,NV,3608365,Alan,Grant,Alan Grant,alan.grant@setechstores.com
635,062-077-7064,36 Old St.,Albuquerque,NV,3608365,Gavin,Greene,Gavin Greene,gavin.greene@setechstores.com
360,(948) 251-1874,756 Green Fabien Way,Albuquerque,OR,6610173,Gordon,Ince,Gordon Ince,gordon.ince@setechstores.com
370,206-782-0429,74 North Hague Drive,Albuquerque,OR,6610173,Zvi,Duncan,Zvi Duncan,zvi.duncan@setechstores.com
803,(804) 054-8718,252 Rocky Old Boulevard,Albuquerque,OR,6610173,Christian,Johnson,Christian Johnson,christian.johnson@setechstores.com
11,635-622-1428,430 Nobel Parkway,Albuquerque,WV,4126810,Bernadette,Dasgupta,Bernadette Dasgupta,bernadette.dasgupta@setechstores.com
537,(001) 293-0691,70 South Green Nobel Boulevard,Albuquerque,WV,4126810,Matt,Hart,Matt Hart,matt.hart@setechstores.com
